NFCSnooper version: 01
Absolute timestamp: -3662335184428823378
Time offset, received?, Data
70744, true, 6f0600
412583, true, 6f0500
70431, true, 6f0600
32626092, true, 6f0500
71789, true, 6f0600
411476, true, 6f0500
70720, true, 6f0600
413009, true, 6f0500
71476, true, 6f0600
410981, true, 6f0500
70992, true, 6f0600
411812, true, 6f0500
71282, true, 6f0600
17849450, true, 6f0500
72811, true, 6f0600
411432, true, 6f0500
70288, true, 6f0600
414210, true, 6f0500
70586, true, 6f0600
411464, true, 6f0500
71986, true, 6f0600
411931, true, 6f0500
71128, true, 6f0600
3065991, true, 6f0500
69453, true, 6f0600
413762, true, 6f0500
69978, true, 6f0600
414191, true, 6f0500
69589, true, 6f0600
413394, true, 6f0500
70951, true, 6f0600
412994, true, 6f0500
69674, true, 6f0600
8093338, true, 6f0500
72931, true, 6f0600
414301, true, 6f0500
69811, true, 6f0600
413066, true, 6f0500
69446, true, 6f0600
414677, true, 6f0500
69208, true, 6f0600
413813, true, 6f0500
70380, true, 6f0600
16363851, true, 6f0500
70984, true, 6f0600
413845, true, 6f0500
69137, true, 6f0600
413645, true, 6f0500
70704, true, 6f0600
411775, true, 6f0500
71642, true, 6f0600
412835, true, 6f0500
71810, true, 6f0600
11054965, true, 6f0500
69720, true, 6f0600
413189, true, 6f0500
70783, true, 6f0600
413076, true, 6f0500
69483, true, 6f0600
413816, true, 6f0500
70350, true, 6f0600
412774, true, 6f0500
69736, true, 6f0600
2771958, true, 6f0500
70312, true, 6f0600
412487, true, 6f0500
72759, true, 6f0600
410899, true, 6f0500
70929, true, 6f0600
412293, true, 6f0500
71012, true, 6f0600
412186, true, 6f0500
70046, true, 6f0600
3067241, true, 6f0500
70674, true, 6f0600
411524, true, 6f0500
72365, true, 6f0600
411862, true, 6f0500
70258, true, 6f0600
412086, true, 6f0500
71430, true, 6f0600
412675, true, 6f0500
69197, true, 6f0600
58302112, true, 6f0500
72093, true, 6f0600
411334, true, 6f0500
69758, true, 6f0600
413225, true, 6f0500
70691, true, 6f0600
412769, true, 6f0500
71617, true, 6f0600
412930, true, 6f0500
68612, true, 6f0600
21116507, true, 6f0500
71268, true, 6f0600
411826, true, 6f0500
70518, true, 6f0600
415445, true, 6f0500
70697, true, 6f0600
412272, true, 6f0500
69413, true, 6f0600
413393, true, 6f0500
69540, true, 6f0600
14319852, true, 6f0500
70451, true, 6f0600
413346, true, 6f0500
71115, true, 6f0600
412252, true, 6f0500
71566, true, 6f0600
411963, true, 6f0500
71698, true, 6f0600
410968, true, 6f0500
70958, true, 6f0600
1599374, true, 6f0500
71754, true, 6f0600
411935, true, 6f0500
71144, true, 6f0600
412465, true, 6f0500
70402, true, 6f0600
413583, true, 6f0500
69442, true, 6f0600
413801, true, 6f0500
70549, true, 6f0600
1891553, true, 6f0500
70710, true, 6f0600
413596, true, 6f0500
69870, true, 6f0600
412903, true, 6f0500
71276, true, 6f0600
411760, true, 6f0500
70711, true, 6f0600
412988, true, 6f0500
72242, true, 6f0600
6611278, true, 6f0500
71504, true, 6f0600
412010, true, 6f0500
71509, true, 6f0600
411670, true, 6f0500
71321, true, 6f0600
412201, true, 6f0500
71439, true, 6f0600
411894, true, 6f0500
71517, true, 6f0600
92294072, true, 6f0500
68927, true, 6f0600
414366, true, 6f0500
70001, true, 6f0600
413512, true, 6f0500
71488, true, 6f0600
412109, true, 6f0500
70953, true, 6f0600
411868, true, 6f0500
69591, true, 6f0600
58335227, true, 6f0500
